lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.010000000000000002,0.014375542480223992,0.04637165367603302,0.11288994550704956,
0.02,0.04000000000000001,0.0046358531140248,0.012991576455533504,0.08749320358037949,
0.02,0.09,0.004601883412317557,0.0701591968536377,0.01504532527178526,
0.02,0.16000000000000003,0.005178014745231228,0.014303170144557953,0.1351414918899536,
0.02,0.25,0.010693919335969073,0.019679905846714973,0.24558192491531372,
0.02,0.36,0.006923753849229673,0.01858184114098549,0.06287131458520889,
0.02,0.48999999999999994,0.00578770827238783,0.022669587284326553,0.1240563690662384,
0.02,0.6400000000000001,0.014767454971250555,0.05192183703184128,0.11879763007164001,
0.02,0.81,0.0025182634818233436,0.01834527961909771,0.02036658301949501,
0.02,1.0,0.02634863819095129,0.14810702204704285,0.09647511690855026,
0.04,0.010000000000000002,0.007671730519949204,0.08179065585136414,0.03575710207223892,
0.04,0.04000000000000001,0.004831204575104828,0.017864327877759933,0.05290907248854637,
0.04,0.09,0.016630840302011965,0.04084688425064087,0.10473854839801788,
0.04,0.16000000000000003,0.013202103012592177,0.10128067433834076,0.04492752254009247,
0.04,0.25,0.017562966384965305,0.03428763151168823,0.029294312000274658,
0.04,0.36,0.021818330060641364,0.036865234375,0.06755580008029938,
0.04,0.48999999999999994,0.016952897706742333,0.05984744429588318,0.07163224369287491,
0.04,0.6400000000000001,0.00773378266993968,0.018449950963258743,0.029116183519363403,
0.04,0.81,0.022686675245313804,0.06630593538284302,0.04756615683436394,
0.04,1.0,0.016265901299760216,0.02719585783779621,0.07333248108625412,
0.06,0.010000000000000002,0.003945412973237367,0.029238510876893997,0.45255059003829956,
0.06,0.04000000000000001,0.004159636564077029,0.392727255821228,0.03538302704691887,
0.06,0.09,0.009871631814487362,0.046261534094810486,0.027413655072450638,
0.06,0.16000000000000003,0.0071844016293082505,0.02703673020005226,0.03776264935731888,
0.06,0.25,0.010524432799017868,0.022639021277427673,0.0342843234539032,
0.06,0.36,0.012130406897331027,0.0249863900244236,0.027581773698329926,
0.06,0.48999999999999994,0.002916121179201533,0.09403041750192642,0.011171597987413406,
0.06,0.6400000000000001,0.025278754640943885,0.24091440439224243,0.053821414709091187,
0.06,0.81,0.01752676016037564,0.04444717615842819,0.05388642102479935,
0.06,1.0,0.016088118508009133,0.4194808006286621,0.14730148017406464,
0.08,0.010000000000000002,0.016903876897348315,0.09647010266780853,0.06263050436973572,
0.08,0.04000000000000001,0.01912703388882338,0.24324628710746765,0.05587364360690117,
0.08,0.09,0.012966800609177145,0.04499697685241699,0.02642579935491085,
0.08,0.16000000000000003,0.016153495765359977,0.02968570590019226,0.057886749505996704,
0.08,0.25,0.008824701780262283,0.03325008600950241,0.03902275115251541,
0.08,0.36,0.008950692095669543,0.018864601850509644,0.5308109521865845,
0.08,0.48999999999999994,0.01024656802880378,0.029936568811535835,0.057763516902923584,
0.08,0.6400000000000001,0.014429515825935931,0.07456730306148529,0.02422650158405304,
0.08,0.81,0.011915480402619427,0.4956710636615753,0.027533814311027527,
0.08,1.0,0.010485490316703625,0.04352830722928047,0.04001006484031677,
0.1,0.010000000000000002,0.030136710076588073,0.05005864053964615,0.11561810970306396,
0.1,0.04000000000000001,0.011987118188893298,0.09921328723430634,0.03492620587348938,
0.1,0.09,0.017795678066839418,0.04069328308105469,0.0654318630695343,
0.1,0.16000000000000003,0.016589662364392254,0.06037405505776405,0.044902391731739044,
0.1,0.25,0.01619404945215491,0.41331037878990173,0.03677123785018921,
0.1,0.36,0.009861336488615322,0.07137396931648254,0.017344508320093155,
0.1,0.48999999999999994,0.019557592188405422,0.03483432158827782,0.544318437576294,
0.1,0.6400000000000001,0.02628467294369327,0.06956636160612106,0.06794442236423492,
0.1,0.81,0.009573672926902265,0.03291662782430649,0.10905890166759491,
0.1,1.0,0.004377847863843835,0.044669006019830704,0.018829602748155594,
0.12,0.010000000000000002,0.019362065342055482,0.06135902181267738,0.16727232933044434,
0.12,0.04000000000000001,0.01685342103378271,0.03525886312127113,0.028728002682328224,
0.12,0.09,0.013710897405411203,0.14415396749973297,0.05796923115849495,
0.12,0.16000000000000003,0.008248713028477279,0.024079302325844765,0.057564832270145416,
0.12,0.25,0.008014023133964276,0.04252520948648453,0.02465568110346794,
0.12,0.36,0.014588402425251744,0.041197583079338074,0.04037301242351532,
0.12,0.48999999999999994,0.022198593773392984,0.03338470682501793,0.06286188215017319,
0.12,0.6400000000000001,0.008379594685981559,0.03381841629743576,0.023307431489229202,
0.12,0.81,0.004857304703482619,0.057913973927497864,0.1397164762020111,
0.12,1.0,0.010834143615870326,0.03150613605976105,0.06867877393960953,
0.14,0.010000000000000002,0.01751843359786583,0.41292065382003784,0.06625646352767944,
0.14,0.04000000000000001,0.012318340258685697,0.043297238647937775,0.12286633253097534,
0.14,0.09,0.015360403148372101,0.06423676013946533,0.036061376333236694,
0.14,0.16000000000000003,0.01890450655800288,0.03590533137321472,0.09886530041694641,
0.14,0.25,0.009762234963330996,0.054115571081638336,0.11669051647186279,
0.14,0.36,0.014700638346867446,0.04855047166347504,0.04591893404722214,
0.14,0.48999999999999994,0.009439205443351131,0.18484991788864136,0.03080005943775177,
0.14,0.6400000000000001,0.0027764821299173345,0.021220795810222626,0.018061846494674683,
0.14,0.81,0.031018735951507587,0.05877386033535004,0.11520827561616898,
0.14,1.0,0.014510607962474335,0.04371773824095726,0.026957176625728607,
