lambda, sigma squared, inference error
0.02,0.01,0.003280462247688708
0.02,0.04,0.002104630413233602
0.02,0.09,0.003966902916171518
0.02,0.16,0.005178014745231228
0.02,0.25,0.0095100276822483
0.02,0.36,0.006923753849229673
0.02,0.49,0.00578770827238783
0.02,0.64,0.007089606977154298
0.02,0.81,0.0025182634818233436
0.02,1.0,0.0069219481270943
0.04,0.01,0.005059747250348973
0.04,0.04,0.002320583016362684
0.04,0.09,0.0056571156944727734
0.04,0.16,0.008716371832404523
0.04,0.25,0.004293166568636214
0.04,0.36,0.00695344372429808
0.04,0.49,0.0051194065307661575
0.04,0.64,0.00773378266993968
0.04,0.81,0.0095501143600098
0.04,1.0,0.0038430316691236894
0.06,0.01,0.003945412973237367
0.06,0.04,0.004159636564077029
0.06,0.09,0.008101892557715377
0.06,0.16,0.0071844016293082505
0.06,0.25,0.006345511375820339
0.06,0.36,0.01009069920254787
0.06,0.49,0.002916121179201533
0.06,0.64,0.008342812911369553
0.06,0.81,0.002825466899114039
0.06,1.0,0.0059188171423296436
0.08,0.01,0.00699975211436562
0.08,0.04,0.009200118820666842
0.08,0.09,0.008726341462359904
0.08,0.16,0.005482318683602009
0.08,0.25,0.0029661812269396837
0.08,0.36,0.008950692095669543
0.08,0.49,0.008680709047186111
0.08,0.64,0.009662364713773975
0.08,0.81,0.010310260088429031
0.08,1.0,0.008788489594996946
0.1,0.01,0.011775717046683827
0.1,0.04,0.0024041601596845766
0.1,0.09,0.003312527534654813
0.1,0.16,0.004805080489225263
0.1,0.25,0.012058707146693787
0.1,0.36,0.007346337465533148
0.1,0.49,0.007084937606494669
0.1,0.64,0.004778816356461501
0.1,0.81,0.009573672926902265
0.1,1.0,0.004377847863843835
0.12,0.01,0.011526775625268064
0.12,0.04,0.00843631376107032
0.12,0.09,0.004280428853583677
0.12,0.16,0.008248713028477279
0.12,0.25,0.008014023133964276
0.12,0.36,0.008802999494492827
0.12,0.49,0.014500427085145252
0.12,0.64,0.007383898224953532
0.12,0.81,0.004857304703482619
0.12,1.0,0.007459441477231408
0.14,0.01,0.011424950649462154
0.14,0.04,0.012318340258685697
0.14,0.09,0.0027876433553474856
0.14,0.16,0.010740834298814395
0.14,0.25,0.007560739381152507
0.14,0.36,0.0026099743578294624
0.14,0.49,0.007058527952316458
0.14,0.64,0.0027764821299173345
0.14,0.81,0.006397888216992881
0.14,1.0,0.008939590323939135
