lambda, sig squared, inference error, model 1 error, model 2 error
0.0,1.0,0.011066455739490973,0.0776393786072731,0.06572962552309036,
0.02,0.010000000000000002,0.003280462247688708,0.02379138022661209,0.0179931428283453,
0.02,0.04000000000000001,0.002104630413233602,0.01769496686756611,0.014121325686573982,
0.02,0.09,0.003966902916171518,0.057018671184778214,0.027016691863536835,
0.02,0.16000000000000003,0.01264691125676609,0.09071130305528641,0.41445356607437134,
0.02,0.25,0.019724787914313424,0.04264932870864868,0.13165132701396942,
0.02,0.36,0.014204005535234675,0.16267985105514526,0.03652045875787735,
0.02,0.48999999999999994,0.010480169709625965,0.040536507964134216,0.01848405972123146,
0.02,0.6400000000000001,0.007089606977154298,0.035330697894096375,0.04805590212345123,
0.02,0.81,0.021740314398681508,0.06652235239744186,0.04019852355122566,
0.02,1.0,0.00988581639250158,0.022710684686899185,0.025380203500390053,
0.04,0.010000000000000002,0.005059747250348973,0.07461486011743546,0.027602624148130417,
0.04,0.04000000000000001,0.002320583016362684,0.026333097368478775,0.03917836397886276,
0.04,0.09,0.0056571156944727734,0.07781673967838287,0.013000193051993847,
0.04,0.16000000000000003,0.008716371832404523,0.02548641711473465,0.0438007190823555,
0.04,0.25,0.009787023151230853,0.04628119617700577,0.08964553475379944,
0.04,0.36,0.0076392615036328035,0.06264524161815643,0.025692168623209,
0.04,0.48999999999999994,0.014520379013516565,0.06775660067796707,0.16862288117408752,
0.04,0.6400000000000001,0.03545239681745942,0.3751147985458374,0.10618657618761063,
0.04,0.81,0.0095501143600098,0.31751561164855957,0.027951650321483612,
0.04,1.0,0.014024832434729968,0.7603777647018433,0.041138771921396255,
0.06,0.010000000000000002,0.015028061708854,0.025962524116039276,0.09130895882844925,
0.06,0.04000000000000001,0.015789211529875946,0.10460889339447021,0.08039237558841705,
0.06,0.09,0.008101892557715377,0.027065038681030273,0.04149617999792099,
0.06,0.16000000000000003,0.02498652075103577,0.07946832478046417,0.27971315383911133,
0.06,0.25,0.006345511375820339,0.11472870409488678,0.03446511924266815,
0.06,0.36,0.015515055748044144,0.07848618924617767,0.17092031240463257,
0.06,0.48999999999999994,0.00982989985092149,0.039981137961149216,0.08510417491197586,
0.06,0.6400000000000001,0.008342812911369553,0.026479341089725494,0.040269892662763596,
0.06,0.81,0.002825466899114039,0.027227992191910744,0.026542820036411285,
0.06,1.0,0.0059188171423296436,0.021145876497030258,0.03147205710411072,
0.08,0.010000000000000002,0.00699975211436562,0.026818037033081055,0.03295159339904785,
0.08,0.04000000000000001,0.011632492071673647,0.034883007407188416,0.20469342172145844,
0.08,0.09,0.008726341462359904,0.0430438332259655,0.05052702873945236,
0.08,0.16000000000000003,0.014244543623527707,0.10866070538759232,0.02944086492061615,
0.08,0.25,0.0029661812269396837,0.08874286711215973,0.03321491554379463,
0.08,0.36,0.011823239386849881,0.11034704744815826,0.051287516951560974,
0.08,0.48999999999999994,0.008680709047186111,0.06261351704597473,0.03382428362965584,
0.08,0.6400000000000001,0.009662364713773975,0.025754883885383606,0.056050531566143036,
0.08,0.81,0.03651654985987191,0.23306334018707275,0.09287905693054199,
0.08,1.0,0.008788489594996946,0.0347355380654335,0.04585540294647217,
0.1,0.010000000000000002,0.011775717046683827,0.1672412008047104,0.02826457843184471,
0.1,0.04000000000000001,0.010240585848134266,0.0252014622092247,0.047612424939870834,
0.1,0.09,0.003312527534654813,0.012351480312645435,0.029196221381425858,
0.1,0.16000000000000003,0.03353823608443545,0.0636637806892395,0.36474257707595825,
0.1,0.25,0.0284791418470575,0.04983308166265488,0.10569798201322556,
0.1,0.36,0.007346337465533148,0.036204591393470764,0.0324883833527565,
0.1,0.48999999999999994,0.007084937606494669,0.045596860349178314,0.013067716732621193,
0.1,0.6400000000000001,0.009974330313725435,0.029540080577135086,0.1520075500011444,
0.1,0.81,0.01004981554764445,0.020861303433775902,0.02667851746082306,
0.1,1.0,0.058148161543604145,0.1598832756280899,0.14935773611068726,
0.12,0.010000000000000002,0.0141009588162899,0.5923102498054504,0.03108920343220234,
0.12,0.04000000000000001,0.009318574207119656,0.02884788066148758,0.2988952100276947,
0.12,0.09,0.004280428853583677,0.014603514224290848,0.09692195057868958,
0.12,0.16000000000000003,0.010745757727777475,0.11402139812707901,0.02929568663239479,
0.12,0.25,0.01244043931118298,0.18052887916564941,0.028927922248840332,
0.12,0.36,0.013232831135563292,0.033797428011894226,0.07142569124698639,
0.12,0.48999999999999994,0.019758560965664224,0.6719776391983032,0.08961375057697296,
0.12,0.6400000000000001,0.008270832714811072,0.030485857278108597,0.03428005054593086,
0.12,0.81,0.014919550897956742,0.041932012885808945,0.4303086996078491,
0.12,1.0,0.007459441477231408,0.0895543321967125,0.0317128524184227,
0.14,0.010000000000000002,0.017419273706981486,0.1875319480895996,0.03812777251005173,
0.14,0.04000000000000001,0.012593136072255547,0.10155908763408661,0.04166628420352936,
0.14,0.09,0.0027876433553474856,0.014706707559525967,0.07335500419139862,
0.14,0.16000000000000003,0.017352826295531136,0.13518546521663666,0.049112290143966675,
0.14,0.25,0.016667476687985152,0.07017776370048523,0.04687505215406418,
0.14,0.36,0.0026099743578294624,0.09279027581214905,0.05689722299575806,
0.14,0.48999999999999994,0.007058527952316458,0.04797085374593735,0.0484100766479969,
0.14,0.6400000000000001,0.05290044631773915,0.09768818318843842,0.09672461450099945,
0.14,0.81,0.00763182387291087,0.061980247497558594,0.06558582186698914,
0.14,1.0,0.022973309343588644,0.04141910374164581,0.05636931210756302,
