lambda, sigma squared, inference error
0.02,0.04,0.006575907000506071
0.02,0.16,0.0031965319237373994
0.02,0.36,0.004005962614631758
0.02,0.64,0.0026919742990940527
0.02,1.0,0.0015564345123786141
0.06,0.04,0.004062097934551125
0.06,0.16,0.00400282237997563
0.06,0.36,0.003027518294201188
0.06,0.64,0.003115682506080295
0.06,1.0,0.0020268070644836127
0.1,0.04,0.004135013052672666
0.1,0.16,0.0022020577021652824
0.1,0.36,0.004544088365204654
0.1,0.64,0.005383296020585505
0.1,1.0,0.004640474252519306
0.14,0.04,0.004956209373545103
0.14,0.16,0.006749829267616159
0.14,0.36,0.004282929572200296
0.14,0.64,0.005379868026512589
0.14,1.0,0.004470873503143348
