lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.04000000000000001,0.026440313612500387,0.039676081389188766,0.0474468469619751,
0.02,0.16000000000000003,0.011273958033439684,0.053744517266750336,0.13055582344532013,
0.02,0.36,0.011562950555337643,0.12679947912693024,0.01692168414592743,
0.02,0.6400000000000001,0.002989305791307662,0.1389095038175583,0.024539761245250702,
0.02,1.0,0.02954012074603099,0.05865985527634621,0.16949018836021423,
0.06,0.04000000000000001,0.004062097934551125,0.08184532076120377,0.0297550018876791,
0.06,0.16000000000000003,0.013687520248856843,0.03250352665781975,0.06108783930540085,
0.06,0.36,0.028368094145739983,0.492401123046875,0.07212179154157639,
0.06,0.6400000000000001,0.010356078090753276,0.04305163770914078,0.025556955486536026,
0.06,1.0,0.003547144556360324,0.0435483381152153,0.20889100432395935,
0.1,0.04000000000000001,0.016532113256327478,0.04828391969203949,0.11227241158485413,
0.1,0.16000000000000003,0.00954811703183632,0.3068491816520691,0.04264504462480545,
0.1,0.36,0.018379365269466735,0.07934114336967468,0.151679128408432,
0.1,0.6400000000000001,0.010496542420098877,0.5048024654388428,0.02459307573735714,
0.1,1.0,0.027718962724934473,0.7314136028289795,0.06799833476543427,
0.14,0.04000000000000001,0.014196560197858766,0.10540038347244263,0.0431981161236763,
0.14,0.16000000000000003,0.009896017853300432,0.06400307267904282,0.05971354991197586,
0.14,0.36,0.012064784925626305,0.0352267324924469,0.06922957301139832,
0.14,0.6400000000000001,0.018808327766352426,0.12811368703842163,0.09398388117551804,
0.14,1.0,0.006688498350805194,0.02307334914803505,0.11755125969648361,
