lambda, sig squared, inference error, model 1 error, model 2 error
0.02,0.010000000000000002,0.004703431618119893,0.18906238675117493,0.03151339665055275,
0.02,0.04000000000000001,0.002542889943564594,0.01135987602174282,0.034426916390657425,
0.02,0.09,0.003871639502825184,0.014951638877391815,0.012159525416791439,
0.02,0.16000000000000003,0.005175012907729435,0.031885433942079544,0.032281067222356796,
0.02,0.25,0.0048415883583186195,0.015003370121121407,0.06645166128873825,
0.02,0.36,0.007412485292581823,0.020241934806108475,0.03390645235776901,
0.02,0.48999999999999994,0.009046728548930712,0.02011094056069851,0.02177632600069046,
0.02,0.6400000000000001,0.0022609691623167276,0.008877999149262905,0.04452138394117355,
0.02,0.81,0.0019032372049155237,0.009794292040169239,0.028443027287721634,
0.02,1.0,0.0031083283879251196,0.012453431263566017,0.013413647189736366,
